StateName,Population,Deaths_Total_2019,Death_Rate_Per_100k,GEO_ID,Housing_Unit_Estimate,state,Housing_Available
Alabama,4903185,53879,11.0059723,0400000US01,2284847,01,2.1459576943226395
Alaska,731545,4819,6.57128598,0400000US02,319854,02,2.28712162424106
Arizona,7278717,60523,8.38457932,0400000US04,3075981,04,2.3663075292077553
Arkansas,3017804,31322,10.39296814,0400000US05,1389129,05,2.1724433080009127
California,39512223,282520,7.15477692,0400000US06,14366336,06,2.7503340448114257
Colorado,5758736,39116,6.83247536,0400000US08,2464164,08,2.336993803983826
Connecticut,3565287,31149,8.72911373,0400000US09,1524992,09,2.33790537917576
Delaware,973764,9454,9.75019634,0400000US10,443781,10,2.1942444584152994
District of Columbia,705749,5677,8.06795443,0400000US11,322793,11,2.1863826043315684
Florida,21477737,211692,9.91019767,0400000US12,9673682,12,2.22022359221649
Georgia,10617423,86319,8.17083838,0400000US13,4378391,13,2.4249599910103963
Hawaii,1415872,12748,8.98865313,0400000US15,550273,15,2.5730355659827033
Idaho,1787065,13308,7.52374279,0400000US16,751105,16,2.3792479080820925
Illinois,12671821,110004,8.66347453,0400000US17,5388066,17,2.35183106517255
Indiana,6732219,62175,9.26069631,0400000US18,2921032,18,2.3047399001448805
Iowa,3155070,28809,9.14036355,0400000US19,1418626,19,2.224032267842264
Kansas,2913314,25230,8.66314727,0400000US20,1288401,20,2.261185764369944
Kentucky,4467673,46074,10.32028175,0400000US21,2006358,21,2.2267576374704814
Louisiana,4648794,46343,9.95715307,0400000US22,2089777,22,2.224540704582355
Maine,1344212,14335,10.68472822,0400000US23,750939,23,1.7900415346652658
Maryland,6045680,51453,8.51766364,0400000US24,2470316,24,2.4473306249079063
Massachusetts,6892503,58564,8.50285493,0400000US25,2928732,25,2.3534085740859867
Michigan,9986857,95983,9.61227192,0400000US26,4629611,26,2.1571697924512447
Minnesota,5639632,43200,7.68281293,0400000US27,2477753,27,2.2761074247513777
Mississippi,2976149,31536,10.58757944,0400000US28,1339021,28,2.222630563673012
Missouri,6137428,60141,9.81168934,0400000US29,2819383,29,2.176869194430129
Montana,1068778,9870,9.27002977,0400000US30,519935,30,2.0555992575995075
Nebraska,1934408,15582,8.07352911,0400000US31,851227,31,2.2724937061441897
Nevada,3080156,25610,8.38641427,0400000US32,1285684,32,2.395733321718245
New Hampshire,1359711,12125,8.9378647,0400000US33,642315,33,2.1168912449499078
New Jersey,8882190,75723,8.5234223,0400000US34,3641812,34,2.438947974250181
New Mexico,2096829,18388,8.77798915,0400000US35,948473,35,2.210741897766199
New York,19453561,164817,8.45564191,0400000US36,8404381,36,2.314692896478634
North Carolina,10488084,94312,9.03817539,0400000US37,4747943,37,2.2089742863383153
North Dakota,762062,6250,8.22291602,0400000US38,380173,38,2.004513734536645
Ohio,11689100,117750,10.07898802,0400000US39,5232869,39,2.2337841822526037
Oklahoma,3956971,40266,10.19753062,0400000US40,1749464,40,2.261819048577164
Oregon,4217737,36563,8.70586692,0400000US41,1808465,41,2.3322193130638413
Pennsylvania,12801989,133439,10.42373658,0400000US42,5732628,42,2.233179791188265
Rhode Island,1059361,9802,9.25744033,0400000US44,470168,44,2.253154191693182
South Carolina,5148714,50744,9.91784319,0400000US45,2351286,45,2.189743825293903
South Dakota,884659,7337,8.32162744,0400000US46,401862,46,2.2013999830787685
Tennessee,6829174,67977,9.99602597,0400000US47,3028213,47,2.2551828421580646
Texas,28995881,202786,7.03818114,0400000US48,11283353,48,2.5697929507301596
Utah,3205958,17443,5.48564449,0400000US49,1133521,49,2.828318134379513
Vermont,623989,5634,9.02633643,0400000US50,339439,50,1.8382949513756521
Virginia,8535519,69729,8.18568975,0400000US51,3562143,51,2.3961752798806786
Washington,7614893,58587,7.73999882,0400000US53,3195004,53,2.3833751068856253
West Virginia,1792147,22567,12.54963939,0400000US54,894956,54,2.0024973294776505
Wisconsin,5822434,50393,8.66615534,0400000US55,2725296,55,2.1364409590738034
Wyoming,578759,4971,8.59766855,0400000US56,280291,56,2.0648504589872667
