StateName,State,County FIPS Code,Opioid Dispensing Rate per 100
Alabama,AL,1001,98.3
Alabama,AL,1003,65.0
Alabama,AL,1005,22.8
Alabama,AL,1007,24.8
Alabama,AL,1009,22.8
Alabama,AL,1011,22.0
Alabama,AL,1013,35.1
Alabama,AL,1015,97.9
Alabama,AL,1017,60.5
Alabama,AL,1019,50.6
Alabama,AL,1021,39.3
Alabama,AL,1023,37.8
Alabama,AL,1025,65.9
Alabama,AL,1027,81.7
Alabama,AL,1029,5.7
Alabama,AL,1031,74.4
Alabama,AL,1033,150.0
Alabama,AL,1035,113.3
Alabama,AL,1037,0.0
Alabama,AL,1039,85.3
Alabama,AL,1041,33.4
Alabama,AL,1043,81.1
Alabama,AL,1045,31.8
Alabama,AL,1047,62.7
Alabama,AL,1049,64.3
Alabama,AL,1051,26.8
Alabama,AL,1053,81.2
Alabama,AL,1055,102.8
Alabama,AL,1057,53.6
Alabama,AL,1059,89.4
Alabama,AL,1061,17.0
Alabama,AL,1063,16.5
Alabama,AL,1065,22.6
Alabama,AL,1067,46.2
Alabama,AL,1069,136.5
Alabama,AL,1071,71.7
Alabama,AL,1073,139.0
Alabama,AL,1075,10.7
Alabama,AL,1077,57.3
Alabama,AL,1079,28.3
Alabama,AL,1081,35.4
Alabama,AL,1083,26.9
Alabama,AL,1085,8.3
Alabama,AL,1087,11.3
Alabama,AL,1089,87.3
Alabama,AL,1091,58.8
Alabama,AL,1093,106.0
Alabama,AL,1095,92.2
Alabama,AL,1097,98.0
Alabama,AL,1099,53.7
Alabama,AL,1101,86.3
Alabama,AL,1103,67.9
Alabama,AL,1105,17.3
Alabama,AL,1107,43.7
Alabama,AL,1109,38.5
Alabama,AL,1111,47.0
Alabama,AL,1113,35.9
Alabama,AL,1115,63.0
Alabama,AL,1117,64.6
Alabama,AL,1119,41.9
Alabama,AL,1121,39.7
Alabama,AL,1123,43.4
Alabama,AL,1125,86.6
Alabama,AL,1127,123.0
Alabama,AL,1129,29.4
Alabama,AL,1131,16.0
Alabama,AL,1133,65.0
Alaska,AK,2013,9.6
Alaska,AK,2016,2.1
Alaska,AK,2020,47.2
Alaska,AK,2050,8.8
Alaska,AK,2060,6.4
Alaska,AK,2068,5.2
Alaska,AK,2070,1.7
Alaska,AK,2090,29.7
Alaska,AK,2100,0.5
Alaska,AK,2105,3.0
Alaska,AK,2110,29.2
Alaska,AK,2122,47.3
Alaska,AK,2130,49.5
Alaska,AK,2150,18.0
Alaska,AK,2158,1.0
Alaska,AK,2170,38.0
Alaska,AK,2180,3.0
Alaska,AK,2185,2.2
Alaska,AK,2188,11.2
Alaska,AK,2195,67.0
Alaska,AK,2198,18.0
Alaska,AK,2220,14.8
Alaska,AK,2230,10.4
Alaska,AK,2240,14.1
Alaska,AK,2275,3.9
Alaska,AK,2282,8.1
Alaska,AK,2290,2.6
Arizona,AZ,4001,4.9
Arizona,AZ,4003,34.4
Arizona,AZ,4005,32.2
Arizona,AZ,4007,42.8
Arizona,AZ,4009,51.6
Arizona,AZ,4011,1.6
Arizona,AZ,4012,14.8
Arizona,AZ,4013,42.4
Arizona,AZ,4015,66.4
Arizona,AZ,4017,43.6
Arizona,AZ,4019,46.9
Arizona,AZ,4021,10.5
Arizona,AZ,4023,5.9
Arizona,AZ,4025,48.6
Arizona,AZ,4027,28.2
Arkansas,AR,5001,70.7
Arkansas,AR,5003,26.0
Arkansas,AR,5005,136.7
Arkansas,AR,5007,37.1
Arkansas,AR,5009,67.2
Arkansas,AR,5011,73.8
Arkansas,AR,5013,15.3
Arkansas,AR,5015,37.4
Arkansas,AR,5017,90.0
Arkansas,AR,5019,54.7
Arkansas,AR,5021,72.7
Arkansas,AR,5023,53.9
Arkansas,AR,5025,4.9
Arkansas,AR,5027,51.7
Arkansas,AR,5029,38.2
Arkansas,AR,5031,164.0
Arkansas,AR,5033,51.4
Arkansas,AR,5035,59.6
Arkansas,AR,5037,59.7
Arkansas,AR,5039,31.6
Arkansas,AR,5041,85.2
Arkansas,AR,5043,91.2
Arkansas,AR,5045,64.0
Arkansas,AR,5047,40.2
Arkansas,AR,5049,62.1
Arkansas,AR,5051,112.9
Arkansas,AR,5053,12.6
Arkansas,AR,5055,98.8
Arkansas,AR,5057,40.0
Arkansas,AR,5059,38.0
Arkansas,AR,5061,58.5
Arkansas,AR,5063,132.5
Arkansas,AR,5065,70.5
Arkansas,AR,5067,55.0
Arkansas,AR,5069,98.7
Arkansas,AR,5071,52.3
Arkansas,AR,5073,91.5
Arkansas,AR,5075,45.2
Arkansas,AR,5077,82.0
Arkansas,AR,5079,11.1
Arkansas,AR,5081,96.4
Arkansas,AR,5083,24.6
Arkansas,AR,5085,16.9
Arkansas,AR,5087,29.5
Arkansas,AR,5089,7.2
Arkansas,AR,5091,83.4
Arkansas,AR,5093,59.5
Arkansas,AR,5095,5.9
Arkansas,AR,5097,80.6
Arkansas,AR,5099,21.7
Arkansas,AR,5101,1.4
Arkansas,AR,5103,70.7
Arkansas,AR,5105,12.0
Arkansas,AR,5107,84.2
Arkansas,AR,5109,30.4
Arkansas,AR,5111,69.0
Arkansas,AR,5113,52.8
Arkansas,AR,5115,41.2
Arkansas,AR,5117,13.9
Arkansas,AR,5119,141.7
Arkansas,AR,5121,20.4
Arkansas,AR,5123,47.7
Arkansas,AR,5125,38.3
Arkansas,AR,5127,62.0
Arkansas,AR,5129,28.3
Arkansas,AR,5131,121.5
Arkansas,AR,5133,11.7
Arkansas,AR,5135,43.7
Arkansas,AR,5137,71.4
Arkansas,AR,5139,113.6
Arkansas,AR,5141,38.0
Arkansas,AR,5143,70.2
Arkansas,AR,5145,54.8
Arkansas,AR,5147,14.8
Arkansas,AR,5149,39.7
California,CA,6001,18.2
California,CA,6003,23.0
California,CA,6005,31.8
California,CA,6007,63.0
California,CA,6009,24.7
California,CA,6011,24.7
California,CA,6013,22.9
California,CA,6015,56.1
California,CA,6017,28.4
California,CA,6019,41.9
California,CA,6021,25.2
California,CA,6023,46.8
California,CA,6025,27.7
California,CA,6027,26.6
California,CA,6029,35.1
California,CA,6031,36.1
California,CA,6033,27.0
California,CA,6035,36.3
California,CA,6037,24.5
California,CA,6039,20.3
California,CA,6041,21.2
California,CA,6043,15.6
California,CA,6045,56.8
California,CA,6047,32.8
California,CA,6049,36.4
California,CA,6051,31.8
California,CA,6053,25.8
California,CA,6055,22.9
California,CA,6057,38.7
California,CA,6059,29.8
California,CA,6061,46.0
California,CA,6063,41.7
California,CA,6065,29.1
California,CA,6067,34.0
California,CA,6069,12.9
California,CA,6071,34.5
California,CA,6073,25.5
California,CA,6075,30.5
California,CA,6077,24.7
California,CA,6079,42.6
California,CA,6081,17.7
